geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
8612931,An Chiểu,An Chieu,"An Chieu,An Chiểu",20.65112,106.07759,P,PPL,VN,,81,323,,,0,,4,Asia/Bangkok,2023-06-26
1594494,An Chinh,An Chinh,,15.78333,108.1,P,PPL,VN,,84,508,,,0,,39,Asia/Ho_Chi_Minh,2023-06-26
1594492,An Co,An Co,,20.6,106.58333,P,PPL,VN,,35,341,,,0,,2,Asia/Bangkok,2023-06-26
1594491,An Co18,An Co18,,17.05,107.1,P,PPL,VN,,64,464,,,0,,21,Asia/Bangkok,2023-06-26
8338007,An Cư,An Cu,"An Cu,An Cư",10.32374,106.45722,P,PPL,VN,,37,822,,,0,,4,Asia/Ho_Chi_Minh,2023-06-26
1565759,An Cư Xây,An Cu Xay,"An Cu,An Cu Xay,An Cư Xây,Thon An Cu Dong,Thôn An Cư Đông",16.22634,108.03702,P,PPL,VN,,66,482,,,0,,16,Asia/Bangkok,2023-06-26
1594489,An Cúc,An Cuc,,20.58333,106.51667,P,PPL,VN,,35,341,,,0,,4,Asia/Bangkok,2023-06-26
1560323,An Cường,An Cuong,"An Cuong,An Cường,Yen Cuong,Yên Cương",21.00324,106.5355,P,PPL,VN,,79,292,,,0,,6,Asia/Bangkok,2023-06-26
1594483,An Cửu,An Cuu,"An Cu,An Cuu,An Cửu",13.9,109.15,P,PPL,VN,,46,550,,,0,,7,Asia/Ho_Chi_Minh,2023-06-26
1594482,An Da,An Da,,20.18333,105.63333,P,PPL,VN,,34,391,,,0,,16,Asia/Bangkok,2023-06-26
1594480,An Dân,An Dan,,20.58333,106.48333,P,PPL,VN,,35,341,,,0,,1,Asia/Bangkok,2023-06-26
1594469,An Diên Bắc,An Dien Bac,,14.03333,108.73333,P,PPL,VN,,49,623,,,0,,440,Asia/Ho_Chi_Minh,2023-06-26
1594468,An Diên Nam,An Dien Nam,,14.01667,108.73333,P,PPL,VN,,49,623,,,0,,439,Asia/Ho_Chi_Minh,2023-06-26
10026199,An Dinh,An Dinh,An Dinh,14.47223,109.03914,P,PPL,VN,,46,543,,,0,,9,Asia/Ho_Chi_Minh,2023-06-26
1594457,An Do18,An Do18,,20.16667,105.65,P,PPL,VN,,34,391,,,0,,14,Asia/Bangkok,2023-06-26
10101491,An Dong Center,An Dong Center,,10.75837,106.67398,S,HTL,VN,,20,774,,,0,,13,Asia/Ho_Chi_Minh,2023-06-26
10321523,An Du Đông,An Du GJong,"An Du Dong,An Du Đông",17.01911,107.07997,P,PPL,VN,,64,464,,,0,,15,Asia/Bangkok,2023-06-26
10321524,An Du Nam,An Du Nam,An Du Nam,17.02221,107.08593,P,PPL,VN,,64,464,,,0,,15,Asia/Bangkok,2023-06-26
1594456,An Duc,An Duc,,20.61667,106.41667,P,PPL,VN,,35,338,,,0,,1,Asia/Bangkok,2023-06-26
1565755,An Dương,An Duong,"An Duong,An Dương,Thon An Duong,Thôn An Dương",16.53553,107.69,P,PPL,VN,,66,478,,,0,,11,Asia/Ho_Chi_Minh,2023-06-26
1594452,An Duyên,An Duyen,,20.4,106.11667,P,PPL,VN,,82,359,,,0,,1,Asia/Bangkok,2023-06-26
1594481,An Đà,An GJa,,20.66667,105.75,P,PPL,VN,,44,282,,,0,,7,Asia/Bangkok,2023-06-26
9871638,An Đăng,An GJang,"An Dang,An Đăng",21.12205,106.17818,P,PPL,VN,,74,259,,,0,,9,Asia/Bangkok,2023-06-26
1594478,An Đạo,An GJao,"An Dao,An Đạo",20.33008,106.38336,P,PPL,VN,,82,364,,,0,,0,Asia/Bangkok,2023-06-26
8994000,Ấn Đạt,An GJat,"An Dat,Ấn Đạt",11.71785,109.05421,P,PPL,VN,,60,588,,,0,,30,Asia/Ho_Chi_Minh,2023-06-26
1594477,An Đe18,An GJe18,,20.5,106.25,P,PPL,VN,,35,344,,,0,,4,Asia/Bangkok,2023-06-26
1594476,An Điềm,An GJiem,"An Diem,An Dien,An Diềm,An Điềm",15.87801,107.87828,P,PPL,VN,,84,506,,,0,,23,Asia/Ho_Chi_Minh,2023-06-26
8607277,An Điền,An GJien,"An Dien,An Điền",21.00775,106.3957,P,PPL,VN,,79,291,,,0,,6,Asia/Bangkok,2023-06-26
1594463,An Định,An GJinh,"An Dinh,An Định",13.97633,108.56248,P,PPL,VN,,49,634,,,0,,453,Asia/Ho_Chi_Minh,2023-06-26
1942019,An Định Cầu,An GJinh Cau,"An Dinh Cau,An Định Cầu,Dinh Cau,Định Cầu",9.91528,106.14417,P,PPL,VN,,67,844,,,0,,6,Asia/Ho_Chi_Minh,2023-06-26
1565757,An Đô,An GJo,"An Do,An Đô,Thon An Do,Thôn An Đô",16.48938,107.50006,P,PPL,VN,,66,480,,,0,,8,Asia/Bangkok,2023-06-26
1594458,An Đo18,An GJo18,,20.16667,105.63333,P,PPL,VN,,34,391,,,0,,27,Asia/Bangkok,2023-06-26
1594462,An Đoài,An GJoai,"An Doai,An Doi,An Đoài",21.03333,106.36667,P,PPL,VN,,79,290,,,0,,7,Asia/Bangkok,2023-06-26
